,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
361,2019-06-25 12:15:00,2019-07-04 09:15:00,PFC,107.55,107.7,929.0,1,139.35000000000528,BreakevenExit
362,2019-05-22 15:15:00,2019-07-04 09:15:00,ADANIENT,158.35,158.95,631.0,1,378.5999999999964,BreakevenExit
363,2019-06-18 10:15:00,2019-07-04 10:15:00,RAMCOCEM,793.9,798.9,125.0,1,625.0,BreakevenExit
364,2019-08-14 09:15:00,2019-09-04 09:15:00,CHALET,342.5,287.8,291.0,1,-15917.699999999997,dailyExit
365,2019-06-21 10:15:00,2019-07-05 15:15:00,GRSE,118.8,118.95,841.0,1,126.15000000000478,TargetUsingRsi
366,2019-05-29 09:15:00,2019-07-05 15:15:00,NMDC,38.3,40.25,2610.0,1,5089.500000000007,TargetUsingRsi
367,2019-06-18 13:15:00,2019-07-05 15:15:00,BDL,154.65,158.95,646.0,1,2777.799999999989,TargetUsingRsi
368,2019-02-27 15:15:00,2019-07-08 09:15:00,ENDURANCE,1365.0,1020.3,73.0,1,-25163.100000000002,dailyExit
369,2019-06-13 13:15:00,2019-07-08 09:15:00,WIPRO,298.65,266.9,334.0,1,-10604.5,dailyExit
370,2019-06-19 09:15:00,2019-07-08 09:15:00,SKFINDIA,1964.95,1975.0,50.0,1,502.4999999999977,TargetUsingRsi
371,2019-05-14 14:15:00,2019-07-08 10:15:00,SRF,523.8,583.55,190.0,1,11352.5,TargetUsingRsi
372,2019-05-14 10:15:00,2019-07-08 10:15:00,MANAPPURAM,119.3,131.05,838.0,1,9846.500000000013,TargetUsingRsi
373,2019-05-06 12:15:00,2019-07-08 10:15:00,TRENT,391.9,426.0,255.0,1,8695.500000000005,TargetUsingRsi
374,2019-03-29 09:15:00,2019-07-08 10:15:00,FEDERALBNK,95.05,104.45,1052.0,1,9888.800000000007,TargetUsingRsi
375,2020-06-18 10:15:00,2020-07-08 12:15:00,ADANIENSOL,223.1,251.55,448.0,1,12745.600000000008,TargetUsingRsi
376,2019-06-14 11:15:00,2019-07-08 11:15:00,POWERGRID,105.9,109.95,944.0,1,3823.199999999997,TargetUsingRsi
377,2019-06-19 12:15:00,2019-07-08 11:15:00,TANLA,61.5,64.35,1626.0,1,4634.09999999999,TargetUsingRsi
378,2019-10-11 09:15:00,2019-11-20 14:15:00,KPITTECH,98.1,98.8,1019.0,1,713.3000000000029,BreakevenExit
379,2019-06-21 14:15:00,2019-07-08 13:15:00,SBIN,349.5,354.9,286.0,1,1544.3999999999935,TargetUsingRsi
380,2019-06-27 13:15:00,2019-07-08 14:15:00,HDFCLIFE,451.15,462.35,221.0,1,2475.20000000001,BreakevenExit
381,2019-06-13 12:15:00,2019-07-09 09:15:00,ACE,104.65,87.05,955.0,1,-16808.000000000007,dailyExit
382,2019-06-13 10:15:00,2019-07-09 09:15:00,RAJESHEXPO,666.4,692.15,150.0,1,3862.5,TargetUsingRsi
383,2019-05-27 09:15:00,2019-07-09 09:15:00,DEEPAKFERT,145.6,106.35,686.0,1,-26925.5,dailyExit
384,2019-03-15 09:15:00,2019-07-09 10:15:00,KOTAKBANK,1328.0,1450.0,75.0,1,9150.0,TargetUsingRsi
385,2019-06-24 09:15:00,2019-07-09 10:15:00,CANBK,51.08,51.43,1957.0,1,684.9500000000028,BreakevenExit
386,2019-06-26 10:15:00,2019-07-09 11:15:00,TIMKEN,711.3,714.7,140.0,1,476.00000000001273,BreakevenExit
387,2019-06-24 09:15:00,2019-07-09 13:15:00,KEI,464.95,465.5,215.0,1,118.25000000000244,BreakevenExit
388,2019-06-25 10:15:00,2019-07-09 15:15:00,HDFCAMC,1948.65,1965.0,51.0,1,833.8499999999954,BreakevenExit
389,2019-06-28 09:15:00,2019-07-10 09:15:00,OBEROIRLTY,595.9,616.35,167.0,1,3415.150000000008,BreakevenExit
390,2020-06-19 12:15:00,2020-07-10 11:15:00,ATGL,141.0,150.95,709.0,1,7054.549999999992,TargetUsingRsi
391,2019-05-07 09:15:00,2019-07-10 12:15:00,WELCORP,134.9,137.5,741.0,1,1926.5999999999958,TargetUsingRsi
392,2019-06-10 09:15:00,2019-07-10 14:15:00,RATNAMANI,656.35,657.95,152.0,1,243.20000000000346,BreakevenExit
393,2019-06-25 10:15:00,2019-07-11 09:15:00,SHREECEM,21302.45,21430.0,4.0,1,510.1999999999971,BreakevenExit
394,2019-06-21 15:15:00,2019-07-11 10:15:00,DCMSHRIRAM,527.2,530.15,189.0,1,557.5499999999871,TargetUsingRsi
395,2019-05-27 09:15:00,2019-07-11 13:15:00,AMBER,838.85,846.6,119.0,1,922.25,BreakevenExit
396,2019-06-11 12:15:00,2019-07-12 09:15:00,BSOFT,93.55,74.6,1068.0,1,-20238.600000000002,dailyExit
397,2019-06-04 11:15:00,2019-07-12 09:15:00,BSE,207.05,190.2,482.0,1,-8121.700000000011,dailyExit
398,2019-06-17 11:15:00,2019-07-12 10:15:00,PHOENIXLTD,654.55,655.65,152.0,1,167.20000000000346,BreakevenExit
399,2019-06-20 10:15:00,2019-07-12 11:15:00,GODREJPROP,943.0,943.5,106.0,1,53.0,BreakevenExit
400,2019-05-13 15:15:00,2019-07-12 14:15:00,NLCINDIA,66.9,68.65,1494.0,1,2614.5,BreakevenExit
401,2019-06-21 09:15:00,2019-07-16 14:15:00,NESTLEIND,1168.5,1169.95,85.0,1,123.25000000000387,BreakevenExit
402,2019-07-01 09:15:00,2019-07-16 15:15:00,UCOBANK,18.4,18.45,5434.0,1,271.70000000000385,BreakevenExit
403,2019-05-20 14:15:00,2019-07-17 09:15:00,MCX,844.5,868.9,118.0,1,2879.199999999997,BreakevenExit
404,2019-07-01 09:15:00,2019-07-17 14:15:00,FINEORG,1438.65,1450.05,69.0,1,786.5999999999906,BreakevenExit
