Date,Portfolio Value,Peak Value,Drawdown %,Stock,Quantity,Entry Price,Daily Close,Position Value,Stock Drawdown %
2025-04-14,1588302.49,1613142.45,1.54,ICICIBANK,24.0,1272.05,1350.2,32404.8,-1.22
2025-04-14,1588302.49,1613142.45,1.54,JSWENERGY,57.0,528.3,512.6,29218.2,12.06
2025-04-14,1588302.49,1613142.45,1.54,MUTHOOTFIN,14.0,2294.4,2051.0,28714.0,12.09
2025-04-14,1588302.49,1613142.45,1.54,BEL,107.0,282.35,293.7,31425.9,3.63
2025-04-14,1588302.49,1613142.45,1.54,CIPLA,20.0,1504.2,1481.8,29636.0,7.94
2025-04-14,1588302.49,1613142.45,1.54,SUNPHARMA,18.0,1731.75,1705.0,30690.0,4.59
2025-04-14,1588302.49,1613142.45,1.54,VEDL,66.0,455.95,395.8,26122.8,18.73
2025-04-14,1588302.49,1613142.45,1.54,INDHOTEL,39.0,784.8,836.35,32617.65,4.19
2025-04-14,1588302.49,1613142.45,1.54,ADANIPORTS,26.0,1160.55,1210.8,31480.8,4.3
2025-04-14,1588302.49,1613142.45,1.54,BAJFINANCE,4.0,8688.45,9141.0,36564.0,1.39
2025-04-14,1588302.49,1613142.45,1.54,NAVINFLUOR,8.0,4162.5,4176.9,33415.2,7.54
2025-04-14,1588302.49,1613142.45,1.54,POONAWALLA,98.0,306.35,382.25,37460.5,-3.87
2025-04-14,1588302.49,1613142.45,1.54,ABCAPITAL,178.0,168.54,190.64,33933.92,-4.89
2025-04-14,1588302.49,1613142.45,1.54,CAMS,9.0,3741.7,3832.9,34496.1,5.69
2025-04-14,1588302.49,1613142.45,1.54,CANFINHOME,47.0,650.0,666.5,31325.5,0.41
2025-04-14,1588302.49,1613142.45,1.54,HDFCLIFE,47.0,648.9,704.7,33120.9,-2.63
2025-04-14,1588302.49,1613142.45,1.54,GLENMARK,21.0,1468.15,1376.9,28914.9,8.57
2025-04-14,1588302.49,1613142.45,1.54,HDFCBANK,18.0,1749.95,1864.9,33568.2,-0.44
2025-04-14,1588302.49,1613142.45,1.54,MANAPPURAM,142.0,212.54,226.03,32096.26,-2.33
2025-04-14,1588302.49,1613142.45,1.54,TATACOMM,20.0,1553.05,1591.0,31820.0,0.37
2025-04-14,1588302.49,1613142.45,1.54,TATAPOWER,82.0,369.1,378.5,31037.0,3.86
2025-04-14,1588302.49,1613142.45,1.54,CESC,202.0,148.97,156.98,31709.96,1.44
2025-04-14,1588302.49,1613142.45,1.54,CGPOWER,47.0,649.9,589.25,27694.75,16.83
2025-04-14,1588302.49,1613142.45,1.54,CHAMBLFERT,51.0,589.85,664.0,33864.0,1.75
2025-04-14,1588302.49,1613142.45,1.54,HAL,9.0,3722.4,4206.1,37854.9,-2.59
2025-04-14,1588302.49,1613142.45,1.54,HDFCAMC,8.0,3968.7,4133.1,33064.8,5.96
2025-04-14,1588302.49,1613142.45,1.54,LTF,205.0,146.6,158.64,32521.2,-1.34
2025-04-14,1588302.49,1613142.45,1.54,MAXHEALTH,28.0,1084.15,1074.1,30074.8,1.54
2025-04-14,1588302.49,1613142.45,1.54,CUMMINSIND,10.0,3001.95,2920.7,29207.0,9.68
2025-04-14,1588302.49,1613142.45,1.54,HUDCO,150.0,201.27,219.14,32871.0,3.17
2025-04-14,1588302.49,1613142.45,1.54,SBILIFE,21.0,1495.85,1562.6,32814.6,2.34
2025-04-15,1597393.86,1613142.45,0.98,NTPC,91.0,333.0,359.3,32696.3,1.08
2025-04-15,1597393.86,1613142.45,0.98,CHOLAFIN,21.0,1458.95,1611.9,33849.9,4.99
2025-04-15,1597393.86,1613142.45,0.98,HINDALCO,45.0,681.8,609.9,27445.5,17.6
2025-04-15,1597393.86,1613142.45,0.98,INDIGO,7.0,4765.5,5244.5,36711.5,2.89
2025-04-15,1597393.86,1613142.45,0.98,JINDALSTEL,33.0,915.6,854.25,28190.25,14.06
2025-04-15,1597393.86,1613142.45,0.98,JSWSTEEL,30.0,1011.85,1009.4,30282.0,8.06
2025-04-15,1597393.86,1613142.45,0.98,TATASTEEL,200.0,150.43,136.97,27394.0,15.46
2025-04-15,1597393.86,1613142.45,0.98,BERGEPAINT,60.0,507.0,542.05,32523.0,4.81
